City,State,Country,Latitude,Longitude,AQI (US),Main (US),AQI (CN),Main (CN),Timestamp,Temperature,Pressure,Humidity,Wind Speed,Wind Direction,Weather Icon,,
Yangon,Yangon,Myanmar,16.80528,96.15611,86,p2,41,p2,05:14.3,29,1011,51,2.06,30,01d,,
Yangon,Yangon,Myanmar,16.80528,96.15611,78,p2,36,p2,05:14.7,29,1010,51,4.63,340,01d,,
Yangon,Yangon,Myanmar,16.80528,96.15611,84,p2,40,p2,05:15.0,30,1009,51,4.12,320,01d,,
Yangon,Yangon,Myanmar,16.80528,96.15611,84,p2,40,p2,05:15.3,31,1009,48,2.57,20,01d,,
Yangon,Yangon,Myanmar,16.80528,96.15611,92,p2,46,p2,05:15.7,29,1010,58,2.57,330,01d,,
Yangon,Yangon,Myanmar,16.80528,96.15611,141,p2,71,p2,05:16.0,27,1010,100,1.03,330,02n,,
Yangon,Yangon,Myanmar,16.80528,96.15611,162,p2,103,p2,05:16.3,27,1011,61,1.54,320,02n,,
Yangon,Yangon,Myanmar,16.80528,96.15611,165,p2,109,p2,05:16.6,25,1012,69,1.03,20,01n,,
Yangon,Yangon,Myanmar,16.80528,96.15611,162,p2,102,p2,05:17.0,24,1012,73,1.03,300,01n,,
Yangon,Yangon,Myanmar,16.80528,96.15611,162,p2,103,p2,05:17.3,23,1013,73,2.06,300,01n,,
Yangon,Yangon,Myanmar,16.80528,96.15611,156,p2,88,p2,05:17.6,23,1012,73,1.03,330,01n,,
Yangon,Yangon,Myanmar,16.80528,96.15611,159,p2,95,p2,05:18.0,22,1012,83,1.54,330,02n,,
Yangon,Yangon,Myanmar,16.80528,96.15611,156,p2,88,p2,05:18.3,21,1012,78,1.03,280,04n,,
Yangon,Yangon,Myanmar,16.80528,96.15611,158,p2,92,p2,05:18.6,20,1012,83,0,0,04n,,
Yangon,Yangon,Myanmar,16.80528,96.15611,157,p2,91,p2,05:18.9,20,1011,94,1.54,350,04n,,
Yangon,Yangon,Myanmar,16.80528,96.15611,155,p2,85,p2,05:21.5,20,1011,94,0,0,04n,,
Yangon,Yangon,Myanmar,16.80528,96.15611,153,p2,81,p2,05:21.9,20,1012,94,0,0,04n,,
Yangon,Yangon,Myanmar,16.80528,96.15611,153,p2,80,p2,05:22.2,19,1012,88,0,0,04d,,
Yangon,Yangon,Myanmar,16.80528,96.15611,151,p2,76,p2,05:22.5,19,1013,88,0,0,04d,,
Yangon,Yangon,Myanmar,16.80528,96.15611,162,p2,103,p2,05:22.8,20,1014,78,2.57,340,03d,,
Yangon,Yangon,Myanmar,16.80528,96.15611,140,p2,71,p2,05:23.2,22,1015,64,4.63,40,03d,,
Yangon,Yangon,Myanmar,16.80528,96.15611,105,p2,53,p2,05:23.5,24,1014,65,3.6,50,02d,,
Yangon,Yangon,Myanmar,16.80528,96.15611,110,p2,55,p2,05:23.8,26,1014,61,4.12,60,02d,,
Yangon,Yangon,Myanmar,16.80528,96.15611,96,p2,48,p2,05:24.2,27,1013,54,3.09,320,02d,,
Yangon,Yangon,Myanmar,16.80528,96.15611,87,p2,42,p2,05:24.5,28,1011,54,4.12,30,02d,,
Yangon,Yangon,Myanmar,16.80528,96.15611,86,p2,41,p2,05:24.8,30,1010,79,3.09,40,03d,,
Yangon,Yangon,Myanmar,16.80528,96.15611,80,p2,37,p2,05:25.2,31,1010,48,3.09,30,03d,,
Yangon,Yangon,Myanmar,16.80528,96.15611,70,p2,31,p2,05:25.5,31,1010,48,2.57,60,03d,,
Yangon,Yangon,Myanmar,16.80528,96.15611,88,p2,43,p2,05:25.8,30,1011,51,1.54,40,02d,,
Yangon,Yangon,Myanmar,16.80528,96.15611,124,p2,62,p2,05:26.1,28,1011,58,4.12,330,02n,,
Yangon,Yangon,Myanmar,16.80528,96.15611,139,p2,70,p2,05:26.4,26,1012,69,1.54,310,02n,,
Yangon,Yangon,Myanmar,16.80528,96.15611,138,p2,69,p2,05:26.8,25,1012,69,2.06,330,02n,,
Yangon,Yangon,Myanmar,16.80528,96.15611,129,p2,65,p2,05:27.1,24,1013,73,2.06,350,02n,,
Yangon,Yangon,Myanmar,16.80528,96.15611,137,p2,69,p2,05:27.4,24,1013,73,2.06,320,02n,,
Yangon,Yangon,Myanmar,16.80528,96.15611,132,p2,67,p2,05:27.8,23,1013,100,1.54,320,02n,,
Yangon,Yangon,Myanmar,16.80528,96.15611,138,p2,69,p2,05:28.1,23,1013,73,1.54,320,02n,,
